id,action_id,protocol_action,sub_protocol_bean_name
10368,10554,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10369,10554,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10370,10554,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10371,10554,DENY_AUTHORIZATION,xs2aDenyAuthorization
10372,10560,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10373,10560,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10374,10560,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10375,10560,DENY_AUTHORIZATION,hbciDenyAuthorization
10376,10566,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10377,10566,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10378,10566,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10379,10566,DENY_AUTHORIZATION,xs2aDenyAuthorization
10380,10572,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10381,10572,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10382,10572,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10383,10572,DENY_AUTHORIZATION,hbciDenyAuthorization
10384,10578,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
10385,10578,UPDATE_AUTHORIZATION,xs2aUpdateAuthorization
10386,10578,FROM_ASPSP_REDIRECT,xs2aFromAspspRedirect
10387,10578,DENY_AUTHORIZATION,xs2aDenyAuthorization
10388,10584,GET_AUTHORIZATION_STATE,hbciGetAuthorizationState
10389,10584,UPDATE_AUTHORIZATION,hbciUpdateAuthorization
10390,10584,FROM_ASPSP_REDIRECT,hbciFromAspspRedirect
10391,10584,DENY_AUTHORIZATION,hbciDenyAuthorization
10392,10590,GET_AUTHORIZATION_STATE,xs2aGetAuthorizationState
